Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Daiquiri de zarzamora,5.0,3 valoraciones,fácil,10min,10min,4 vaso,"['150 - 200 g de azúcar al gusto y un poco más', 'ralladura de limón de ½ limón', '250 g de zarzamoras', '100 g de mora azul congelada', '3 limones bien pelados y sin semillas', '100 g de agua', '200 g de hielos', '200 g de vodka']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '356 kcal / 1491 kJ'), ('Proteína', '1 g'), ('Grasa', '1 g'), ('Carbohidratos', '51 g'), ('Fibra', '4.2 g')]"
Coctel tropical,3.8,4 valoraciones,fácil,10min,10min,4 vasos,"['2 maracuyás sólo la pulpa\no bien 40 g de pulpa de maracuyá', '1 mango (aprox. 240 g), en trozos', '100 g de piña en almíbar rebanada escurrida', '200 g de jugo de naranja', '50 g de licor de plátano', '100 g de hielos']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '127 kcal / 533 kJ'), ('Proteína', '2 g'), ('Grasa', '1 g'), ('Carbohidratos', '22 g'), ('Fibra', '1.9 g')]"
Smoothie oscuro,4.3,3 valoraciones,fácil,5min,5min,4 vasos,"['150 g de ciruelas, en trozos, congeladas', '150 g de zarzamoras, congeladas', '1 manzana (aprox. 120 g), en cuartos', '180 g de agua de coco', '1 limón, sólo la ralladura']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '268 kJ / 64 kcal'), ('Proteína', '1 g'), ('Carbohidratos', '12 g'), ('Grasa', '1 g'), ('Fibra', '2.8 g')]"
Smoothie de durazno y melón,5.0,4 valoraciones,fácil,10min,10min,4 vasos,"['300 g de melón, en trozos, congelado', '2 - 3 duraznos (aprox. 300 g),en trozos, congelados', '80 g de uva blanca, congeladas', '1 limón, bien pelado y sin semillas', '400 - 450 g de jugo de manzana, al gusto']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '619 kJ / 148 kcal'), ('Proteína', '2 g'), ('Carbohidratos', '31 g'), ('Grasa', '0 g'), ('Fibra', '2.3 g')]"
Pan con levadura química,4.2,6 valoraciones,fácil,10min,30min,4 piezas,"['400 g de harina', '100 g de leche en polvo', '1 cucharadita de sal', '2 cucharaditas de polvo para hornear', '1 cucharada de miel (30 g)', '15 g de aceite de oliva extra virgen y un poco más para barnizar', '210 g de agua', 'semilla de amapola', 'semillas de ajonjolí']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '576 kcal / 2407 kJ'), ('Proteína', '18.3 g'), ('Grasa', '16.8 g'), ('Carbohidratos', '87.8 g'), ('Fibra', '4.6 g')]"
Gazpacho,4.8,50 valoraciones,fácil,5min,5min,4 porciones,"['1000 g de jitomates muy maduros', '1 diente de ajo', '80 g de pimiento rojo en lata', '40 g de cebolla', '100 g de pepino pelado', '20 g de vinagre', '1 ½ cucharadita de sal', '50 g de aceite de oliva', 'pan tostado para servir']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '217 kcal / 911 kJ'), ('Proteína', '4 g'), ('Grasa', '14 g'), ('Carbohidratos', '22 g'), ('Fibra', '3 g')]"
Ensalada de sandía con aderezo de feta,4.0,2 valoraciones,fácil,5min,10min,4 porciones,"['180 g de queso feta', '50 g de aceite de oliva', '3 ramas de menta fresca sólo las hojas', '90 g de leche', '½ cdita de sal', '¼ cdita de pimienta molida', '350 g de sandía en cubos', '100 g de fresas en cuartos']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '243 kcal / 1020 kJ'), ('Proteína', '6 g'), ('Grasa', '20 g'), ('Carbohidratos', '10 g'), ('Fibra', '1 g')]"
Mezze (dip de berenjena),5.0,5 valoraciones,fácil,20min,25min,4 porciones,"['930 g de berenjenas cortadas a la mitad y con cortes diagonales en el centro', '2 dientes de ajo', '150 g de yogur griego', '1 limón amarillo sólo la ralladura', '1 limón verde sólo el jugo', '¼ cdita de pimienta negra molida', '1 cdita de sal', '1 hinojo sólo las hojas o al gusto', '5 g de cebollín', 'semillas de ajonjolí, blancas para acompañar']","[('Inf. nutricional', 'por 4 porciones'), ('Calorías', '8 kcal / 88 kJ'), ('Proteína', '3 g'), ('Grasa', '16 g'), ('Carbohidratos', '5 g'), ('Fibra', '1 g')]"
Rebujito con hierbabuena (Andalucía),4.9,11 valoraciones,fácil,5min,5min,4 raciones,"['300 g de cubitos de hielo', '6 ramitas de hierbabuena fresca', '250 g de vino blanco seco (manzanilla)\no bien 250 g de vino de Jerez seco', '500 g de gaseosa de limón (p. ej. Sprite®)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '43 kcal / 182 kJ'), ('Proteína', '0.06 g'), ('Grasa', '0 g'), ('Carbohidratos', '1.25 g'), ('Fibra', '0 g')]"
Bowl de arroz con salmón fresco,4.4,12 valoraciones,fácil,10min,40min,4 porción,"['15 g de semillas de ajonjolí tostadas', '1 cdita de sal gruesa', '2 piezas de alga nori en trozos', '1 huevo', '15 g de chile chipotle adobado en puré', '25 g de vinagre de vino tinto', '1 cdita de sal', '280 g de aceite vegetal', '400 g de filetes de salmón fresco, sin hueso en tiras de 100 g cada uno', '1000 g de agua', '260 g de arroz jazmín', '1 pieza aguacate en cubos', 'de salsa de soya al gusto']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '949 kcal / 3986 kJ'), ('Proteína', '24 g'), ('Grasa', '85 g'), ('Carbohidratos', '23 g'), ('Fibra', '0 g')]"
Cous cous con salmón y verduras,4.5,10 valoraciones,fácil,10min,40min,4 porción,"['90 g de frambuesas', '15 g chiles chipotles adobados en puré', '20 g de azúcar', '½ cucharadita de sal fina', '250 g de brócoli en trozos y salpimentado', '1 limón amarillo sólo la ralladura', '4 filetes de salmón frescos, limpios de 200 gramos cada uno', '600 g de agua', '½ cucharadita de sal fina', '150 g de couscous', '25 g de arándanos deshidratados', '1 cda de mantequilla sin sal']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '592 kcal / 2486 kJ'), ('Proteína', '47 g'), ('Grasa', '25 g'), ('Carbohidratos', '43 g'), ('Fibra', '5 g')]"
Mil hojas de higos,5.0,2 valoraciones,fácil,30min,45min,4 porción,"['500 g de masa hojaldre', '150 g de azúcar', '500 g de leche', '75 g de harina', '1 pieza naranja sólo la ralladura', '1 vaina de vainilla sólo la pulpa', '20 g de vino de oporto', '30 g de miel', '300 g de higos en cuartos', '200 g de mora azul', 'menta fresca para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '971 kcal / 4077 kJ'), ('Proteína', '13 g'), ('Grasa', '47 g'), ('Carbohidratos', '127 g'), ('Fibra', '6 g')]"
Jugo de mango picante,4.7,7 valoraciones,fácil,10min,10min,4 vasos,"['120 g de zanahoria, en trozos', '200 gramos de mango, pelado, en trozos', '320 g de jugo de naranja, recién exprimido', '1 pizca de pimienta de cayena molida', '1 pizca de cúrcuma en polvo', '3 cubitos de hielo']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '331 kJ / 79 kcal'), ('Proteína', '1 g'), ('Carbohidratos', '15 g'), ('Grasa', '0 g'), ('Fibra', '2.2 g')]"
Ensalada en jugo,4.3,3 valoraciones,fácil,5min,5min,4 vasos,"['1 ½ pera (aprox. 180 g), en trozos', '150 g de pepino, en trozos', '50 g de hojas de lechuga', '½ limón, bien pelado y sin semillas', '1 - 2 cdas de miel de agave, al gusto', '250 g de agua, fría', '3 cubitos de hielo']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '250 kJ / 60 kcal'), ('Proteína', '1 g'), ('Carbohidratos', '12 g'), ('Grasa', '0 g'), ('Fibra', '1.9 g')]"
Ensalada detox,4.5,399 valoraciones,fácil,5min,5min,4 raciones,"['200 g de zanahoria en trozos', '200 g de pimiento amarillo en trozos', '200 g de ramilletes de brócoli', '4 ramitas de perejil fresco', '150 g de papaya en trozos', '30 g de pipas de calabaza peladas', '25 g de aceite de oliva virgen extra', '20 g de zumo de limón', '1 cucharadita de miel', '1 ½ cucharaditas de mostaza de Dijon', '1 cucharadita de sal', '2 pellizcos de pimienta negra molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '108 kcal / 452 kJ'), ('Proteína', '4.52 g'), ('Grasa', '4.63 g'), ('Carbohidratos', '11.95 g'), ('Fibra', '4.86 g')]"
Cigalas al ajillo,4.7,26 valoraciones,fácil,15min,20min,4 raciones,"['4 - 8 cigalas enteras crudas (1 grande o 2 pequeñas por ración)', '4 pellizcos de sal', '10 ramitas de perejil fresco (solo las hojas)', '4 - 5 dientes de ajo', '50 g de aceite de oliva virgen extra', '30 g de zumo de limón']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '182 kcal / 759 kJ'), ('Proteína', '14.35 g'), ('Grasa', '13.16 g'), ('Carbohidratos', '1.19 g'), ('Fibra', '0.22 g')]"
Ensalada de garbanzos con tofu,4.2,45 valoraciones,fácil,10min,25min,4 raciones,"['150 g de tofu firme en dados de 1,5x1,5 cm', '¼ de cucharadita de sal', '2 pellizcos de pimienta negra molida', '1 cucharada de crema de balsámico (reducción de vinagre)', '2 tomates en rama en dados', '250 g de garbanzos cocidos (en conserva) aclarados y escurridos', '5 ramitas de perejil fresco (solo las hojas)', '1 cucharada de alcaparras', '12 aceitunas negras sin hueso', '50 g de pimiento verde en trozos', '100 g de pepino en trozos', '30 g de aceite de oliva virgen extra']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '232 kcal / 969 kJ'), ('Proteína', '10.9 g'), ('Grasa', '13.5 g'), ('Carbohidratos', '16.6 g'), ('Fibra', '8 g'), ('Grasas saturadas', '1.9 g'), ('Sodio', '414.3 mg')]"
"Smoothie de mango, fresa y piña",4.7,28 valoraciones,fácil,10min,10min,4 raciones,"['140 g de mango maduro pelado y congelado en trozos', '1 yogur natural (125 g)', '120 g de leche de coco', '30 g de azúcar glas', '140 g de fresas sin hojas y congeladas', '1 yogur natural (125 g)', '120 g de leche de coco', '30 g de azúcar glas', '140 g de rodajas de piña en su jugo escurridas, en trozos y congeladas', '1 yogur natural (125 g)', '120 g de leche de coco', '30 g de azúcar glas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '349 kcal / 1460 kJ'), ('Proteína', '5.51 g'), ('Grasa', '21.04 g'), ('Carbohidratos', '34.46 g'), ('Fibra', '5.79 g')]"
Arroz al estilo de Alicante (Comunidad Valenciana),4.7,298 valoraciones,fácil,25min,1h 20min,4 raciones,"['250 g de langostinos crudos sin pelar', '250 g de gambas frescas enteras sin pelar', '500 g de espinas de pescado o morralla (huesos de rape, salmonetes, pescados de roca, galeras, etc.)', '100 g de cebolla', '700 g de agua', '2 ñoras (sin pedúnculo ni semillas)', '2 dientes de ajo', '50 g de aceite de oliva virgen extra', '200 g de calamares limpios y en trozos', '200 g de sepia limpia y en trozos', '1 - 2 pellizcos de hebras de azafrán', '1 cucharada de perejil fresco picado\no bien 1 cucharada de perejil seco picado', '50 g de tomate triturado en conserva', '1 cucharadita de sal', '250 g de arroz de grano redondo', '50 g de guisantes congelados (opcional)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '454 kcal / 1897 kJ'), ('Proteína', '4.2 g'), ('Grasa', '14.42 g'), ('Carbohidratos', '52.77 g'), ('Fibra', '2.35 g')]"
Fingers de merluza con salsa de tomate,4.6,126 valoraciones,fácil,20min,30min,4 raciones,"['200 g de cerveza', '120 g de harina', '½ cucharadita de ajo en polvo', '½ cucharadita de perejil seco', '1 pellizco de colorante alimentario', '1 cucharadita de levadura química en polvo', '1 cucharadita de sal', '500 g de filetes de merluza fresca (sin piel ni espinas) cortados en bastones de 2x6 cm', '300 g de aceite para freír', '400 g de tomate triturado en conserva', '½ cucharadita de azúcar (opcional)', '1 pellizco de bicarbonato']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '316 kcal / 1321 kJ'), ('Proteína', '26.16 g'), ('Grasa', '10.44 g'), ('Carbohidratos', '26.43 g'), ('Fibra', '2.06 g')]"
Arroz con pulpitos de playa,4.7,35 valoraciones,fácil,10min,1h 5min,4 raciones,"['80 g de tomate triturado en conserva', '40 g de cebolla', '2 - 3 dientes de ajo', '1000 g de pulpitos de playa limpios y en trozos\no bien 1000 g de pulpitos de playa congelados y en trozos', '100 g de aceite de oliva virgen extra', '200 g de verduras variadas para paella (judías verdes y garrofón)', '1 cucharadita de pimentón dulce', '1000 g de fumet de pescado', '1 - 2 pimientas de Cayena secas enteras (opcional)', '1 cucharadita de sal', '200 g de arroz de grano redondo', '1 alcachofa fresca cortada en 8 trozos']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '597 kcal / 2494 kJ'), ('Proteína', '44 g'), ('Grasa', '27.8 g'), ('Carbohidratos', '42.5 g'), ('Fibra', '4 g')]"
Cacerola de papa y salmón.,4.3,3 valoraciones,fácil,15min,45min,4 porciones,"['150 g de chícharos congelados', '250 g de salmón ahumado', '500 g de agua', '800 - 1000 g de mezcla de verduras (por ejemplo, ramilletes de coliflor, camote, papas), en trozos (3 cm)(véase Variación)', 'aceite de oliva para engrasar', '250 g de queso crema', '100 g de crema (min 30% de grasa)', '½ cdita de nuez moscada en polvo', '½ cdita de sal', '¼ cdita de pimienta negra molida', 'sal para sazonar', 'pimienta negra molida para sazonar', 'cebollín picado, para decorar', 'jugo de limón amarillo, recién exprimido para rociar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '515.7 kcal / 2157.5 kJ'), ('Proteína', '23.6 g'), ('Grasa', '34.3 g'), ('Carbohidratos', '29.9 g'), ('Fibra', '8.8 g'), ('Grasas saturadas', '18.7 g'), ('Sodio', '1436.8 mg')]"
Gazpacho de pepino y hierbabuena,3.9,12 valoraciones,fácil,10min,40min,4 porciones,"['500 g de pepino pelado, sin semillas y en trozos', '40 g de apio', '1 diente de ajo', '20 g de hierbabuena fresca sólo las hojas', '30 g de vinagre de arroz', '1 cda de sal gruesa', '500 g de agua', 'aceite de oliva extra virgen para servir']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '24 kcal / 101 kJ'), ('Proteína', '1 g'), ('Grasa', '0 g'), ('Carbohidratos', '5 g'), ('Fibra', '1 g')]"
Pescado agridulce con arroz TM6,4.6,32 valoraciones,fácil,5min,1h 5min,4 porciones,"['250 g de arroz jazmín', '20 g de mantequilla clarificada\no bien 20 g de mantequilla sin sal', '400 g de piña pelada y en trozos (3.5 cm)', '30 g de azúcar', '200 g de pimiento rojo en tiras (5 cm de largo, 0.5 cm de grosor)', '20 g de jengibre en rodajas (2 mm)', '2 dientes de ajo, pelados', '120 g de cebolla en trozos', '20 g de aceite vegetal', '470 g de agua y un poco más', '30 g de salsa de soya, baja en sodio', '10 g de vinagre de arroz negro Chinkiang', '15 g de vino de arroz Shaoxing', '30 g de vinagre de arroz negro\no bien 30 g de vinagre de arroz natural', '30 g de catsup', '1 ½ cdita de sal', '400 g de filetes de pescado blanco en cubos (4-5 cm)', '1 cda de fécula de maíz', 'cebolla cambray parte del tallo, en rodajas para decorar', 'semillas de ajonjolí para decorar', 'aceite de ajonjolí tostado para rociar (opcional)']","[('Inf. nutricional', 'por 4 porciones'), ('Calorías', '2179 kcal / 9117 kJ'), ('Proteína', '108.4 g'), ('Grasa', '49.5 g'), ('Carbohidratos', '323.5 g'), ('Fibra', '14.6 g'), ('Grasas saturadas', '16.7 g'), ('Sodio', '5280.7 mg')]"
Bowl de taco de pavo,4.4,16 valoraciones,fácil,40min,1h,4 porciones,"['1 lechuga romana en cuartos', '1 diente de ajo pelado', '5 g de hojas de cilantro, frescas', '30 g de jugo de limón verde', '30 g de aceite de oliva extra virgen', '1 cdita de sal', '90 g de cebolla blanca en trozos', '1 chile jalapeño sin semillas, en cuartos', '5 g de hojas de cilantro, frescas', '240 g de jitomate en cuartos', '15 g de jugo de limón verde', '½ cdita de sal o al gusto', '¼ cdita de pimienta negra molida o al gusto', '120 g de cebolla blanca en trozos', '1 diente de ajo pelado', '30 g de aceite de oliva extra virgen', '30 g de puré de jitomate', '1 ½ cdita de chile en polvo o al gusto', '1 cdita de orégano seco', '1 cdita de sal o al gusto', '1 cdita de paprika', '½ cdita de comino en polvo', '480 g de pechuga de pavo, sin piel deshuesada y en trozos', '1500 g de agua', '1 cdita de sal', '210 g de arroz blanco de grano largo', '450 g de elote desgranado escurrido y enjuagado', '450 g de frijoles negros cocidos escurridos y enjuagados', '30 g de aceite vegetal', '1 - 2 aguacates en rebanadas', '120 g de crema ácida', 'hojas de cilantro, frescas para decorar', '1 - 2 limones verdes en cuartos, para servir']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '1056 kcal / 4418 kJ'), ('Proteína', '44 g'), ('Grasa', '57 g'), ('Carbohidratos', '101 g'), ('Fibra', '22 g'), ('Grasas saturadas', '13 g'), ('Sodio', '1831 mg')]"
Pasta con melón y jamón,4.5,13 valoraciones,fácil,10min,40min,4 porciones,"['1 limón amarillo\no bien 1 limón verde', '1200 g de agua', '½ cda de sal', '320 g de pasta seca corta', '1 cda de aceite de oliva extra virgen', '1 echalot pelado y en mitades', '30 g de aceite de oliva extra virgen', '150 g de jamón de Parma en tiras (1 cm)\no bien 150 g de jamón serrano en tiras (1 cm)', '250 g de melón en cubos', '1 - 2 pizcas de pimienta negra recién molida', '5 - 6 hojas de albahaca frescas', 'aceite de oliva extra virgen para rociar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '502.5 kcal / 2102.5 kJ'), ('Proteína', '22 g'), ('Grasa', '15.5 g'), ('Carbohidratos', '68.8 g'), ('Fibra', '4 g'), ('Grasas saturadas', '2.8 g'), ('Sodio', '1211.3 mg')]"
Salmón con salsa de naranja (Hestan Cue™),4.4,5 valoraciones,fácil,5min,25min,4 porciones,"['120 g de cebolla en trozos', '30 g de aceite de oliva', '250 g de ejotes congelados', '30 g de licor de naranja (p.ej. Cointreau o Grand Marnier)', '200 g de jugo de naranja, recién exprimido', '30 g de agua', '1 cda de azúcar', '1 cda de vinagre', '½ cdita de sal', '1 pizca de pimienta negra molida', '600 g de salmón fresco en filetes con piel, sin espinas (4 piezas)', '4 cda de aceite vegetal', '1 diente de ajo, pelado', '1 ramita de tomillo fresco', 'sal para espolvorear', 'aceite de oliva para regar']","[('Inf. nutricional', 'por 4 porciones'), ('Calorías', '1536 kcal / 6424 kJ'), ('Proteína', '128.1 g'), ('Grasa', '94.7 g'), ('Carbohidratos', '41.9 g'), ('Fibra', '9.2 g'), ('Grasas saturadas', '15.9 g'), ('Sodio', '1084.9 mg')]"
Berenjenas crujientes con salsa de tomate (Hestan Cue™),4.6,13 valoraciones,fácil,30min,50min,4 porciones,"['1 berenjena (300-400 g)', '180 g de aceite de oliva', '40 g de harina de trigo', '120 g de panko', '1 cda de ajo en polvo', '1 cda de cebolla en polvo', '2 cditas de pimentón dulce', '1 cdita de sal', '1 diente de ajo pelado', '2 huevo', '1 cdita de hojuelas de chile seco', '800 g de jitomate triturado', '1 cdita de azúcar', '6 hojas de albahaca picada']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '651 kcal / 2722 kJ'), ('Proteína', '11 g'), ('Grasa', '51 g'), ('Carbohidratos', '38 g'), ('Fibra', '5 g'), ('Grasas saturadas', '8 g'), ('Sodio', '926 mg')]"
Bacalao al horno al estilo mediterráneo,3.9,9 valoraciones,fácil,15min,1h 30min,4 porciones,"['100 g de cebolla blanca en cuartos', '60 g de aceite de oliva extra virgen', '350 g de papa en rebanadas (5-7 mm)', '1 pizca de sal', '1 pizca de pimienta negra recién molida', '20 g de agua', '500 g de bacalao desalado en trozos (3 cm)', '2 cdas de pan molido', 'aceite de oliva extra virgen para engrasar', '1 diente de ajo pelado', '300 g de jitomate triturado en lata', '1 cdita de sal', '50 g de aceitunas verdes deshuesadas', '½ cdita de orégano seco', 'aceitunas verdes deshuesadas para espolvorear', 'orégano seco para sazonar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '650 kcal / 2719.6 kJ'), ('Proteína', '83.5 g'), ('Grasa', '19.5 g'), ('Carbohidratos', '34 g'), ('Fibra', '5.5 g'), ('Grasas saturadas', '3.3 g'), ('Sodio', '8958.3 mg')]"
"Cacerola de pollo, paprika y verduras de temporada",3.9,13 valoraciones,fácil,25min,1h 20min,4 porción,"['500 g de pechuga de pollo deshuesada y sin piel en trozos', '50 g de aceite de oliva extra virgen', '25 g de miel de abeja', '2 cditas de paprika', '1 cdita de sal', '500 g de agua', '150 g de calabacitas en rebanadas (1 cm)', '150 g de pimiento rojo en trozos (3-4 cm)']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '359.5 kcal / 1504.3 kJ'), ('Proteína', '26.8 g'), ('Grasa', '24.3 g'), ('Carbohidratos', '8 g'), ('Fibra', '1.3 g'), ('Grasas saturadas', '5 g'), ('Sodio', '668 mg')]"
Verduras al Varoma con zabaglione de parmesano TM6,4.5,2 valoraciones,fácil,15min,50min,4 porciones,"['80 g de queso parmesano en trozos (2 cm)', '500 g de agua', '600 g de mezcla de verduras (ver tip), cortado en trozos (2-3 cm)', '250 g de leche entera', '20 g de mantequilla sin sal en cubos', '10 g de harina de trigo', '3 yemas de huevo', '½ cdita de sal', '2 pizcas de pimienta negra molida', '2 pizcas de nuez moscada en polvo']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '268 kcal / 1121 kJ'), ('Proteína', '15 g'), ('Grasa', '14 g'), ('Carbohidratos', '20 g'), ('Fibra', '4.5 g'), ('Grasas saturadas', '8 g'), ('Sodio', '0.6 mg')]"
Pasta gratinada con coliflor y queso ahumado,4.4,18 valoraciones,fácil,15min,1h,4 porciones,"['1000 g de agua', '1 cdita de sal', '1 cdita de aceite de oliva extra virgen', '280 g de pasta seca, tipo penne', '300 g coliflor en trozos', 'mantequilla sin sal para engrasar', '140 g de queso Gruyère en trozos', '40 g de mantequilla sin sal en cubos', '40 g de harina de trigo', '500 g de leche', '1 cdita de sal o al gusto', '½ cdita de pimienta molida o al gusto', '½ cdita de nuez moscada en polvo', '60 g de jamón cortado en cubos']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '611 kcal / 2556 kJ'), ('Proteína', '26 g'), ('Grasa', '25 g'), ('Carbohidratos', '71 g'), ('Fibra', '4.3 g'), ('Grasas saturadas', '14 g'), ('Sodio', '1 mg')]"
Huevos en cocotte con espinacas,5.0,9 valoraciones,fácil,10min,30min,4 porciones,"['50 g de queso Gruyère en trozos', '30 g de mantequilla sin sal', '200 g de espinacas baby frescas', '1 pizca de sal o al gusto', '700 g de agua', '4 huevos', 'pimienta negra molida al gusto', '2 rebanadas de pan tostado, partidos en diagonal']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '215 kcal / 904 kJ'), ('Proteína', '12 g'), ('Grasa', '15 g'), ('Carbohidratos', '9 g'), ('Fibra', '2 g'), ('Grasas saturadas', '8 g'), ('Sodio', '741 mg')]"
Curry indio de verduras,4.5,78 valoraciones,fácil,15min,40min,4 raciones,"['½ cucharadita de semillas de cilantro', '½ cucharadita de comino en grano', '½ cucharadita de semillas de cardamomo', '½ cucharadita de semillas de mostaza', '100 g de cebolla cortada en dos', '2 dientes de ajo', '15 g de jengibre fresco (cortado en láminas)', '1 chile rojo fresco pequeño (sin semillas y cortado en trozos)', '20 g de aceite de oliva', '1 cucharadita de cúrcuma molida', '400 g de leche de coco', '100 g de agua', '½ pastilla de caldo de verduras (opcional)', '2 cucharaditas de sal', '600 g de patatas nuevas (para cocer) peladas y en trozos', '150 g de zanahoria (en rodajas de 1 cm)', '150 g de ramilletes de coliflor', '100 g de calabacín (en rodajas de 1 cm)', '100 g de guisantes congelados', '2 ramitas de cilantro fresco (solo las hojas)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '386 kcal / 1614 kJ'), ('Proteína', '7.11 g'), ('Grasa', '24.2 g'), ('Carbohidratos', '33.64 g'), ('Fibra', '11.45 g')]"
Jugo energizante,4.6,14 valoraciones,fácil,10min,10min,4 porción,"['1 naranja en supremas y sin semillas', '1 - 2 limón amarillo en gajos y sin semillas', '200 g de mango en cubos', '1 centimetro de jengibre en rebanadas', '800 g de agua', '40 g de miel', '1 cdita de sal marina o al gusto', '20 g de cubitos de hielo (opcional)']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '89 kcal / 372 kJ'), ('Proteína', '1 g'), ('Grasa', '0 g'), ('Carbohidratos', '17 g'), ('Fibra', '2.5 g'), ('Grasas saturadas', '0 g'), ('Sodio', '3923 mg')]"
Estofado de pollo con verduras en cocción lenta TM6,4.2,19 valoraciones,fácil,15min,3h 20min,4 porciones,"['20 g de aceite de oliva', '2 dientes de ajo pelados', '170 g de cebolla amarilla en gajos', '600 g de jitomate, maduro en trozos', '200 g de pimiento rojo, pelado, en conserva escurrido', '1 cdita de concentrado de caldo de pollo\no bien 1 de cubo de caldo de pollo', '½ - 1 cdita de sal fina o al gusto', '20 - 30 g de chiles jalapeños\no bien 20 - 30 g de chiles jalapeños en escabeche', '1 ½ cditas de azúcar', '350 g de papa pelada y en cubos (3-4 cm)', '600 g de muslos de pollo, sin hueso y sin piel en mitades', '200 g de calabacitas en rebanadas (3 cm), then in quarters', '100 g de espinaca baby fresca']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '453 kcal / 1897 kJ'), ('Proteína', '33 g'), ('Grasa', '22 g'), ('Carbohidratos', '25 g'), ('Fibra', '6.7 g'), ('Grasas saturadas', '6 g'), ('Sodio', '796 mg')]"
Jugo integral de jitomate,5.0,4 valoraciones,fácil,5min,5min,4 vasos,"['600 g de jitomate en trozos', '10 g de jugo de limón', '100 g de hielos', '400 g de agua', '1 pizca de sal', '1 pizca de pimienta negra molida']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '33 kcal / 139 kJ'), ('Proteína', '1 g'), ('Grasa', '1 g'), ('Carbohidratos', '7 g'), ('Fibra', '2 g')]"
Ensalada fresca de verduras,4.3,9 valoraciones,fácil,10min,10min,4 porciones,"['500 g de verduras/frutas mixtas (p.ej. 50 g de apio, 100 g de betabel, 250 g de zanahoria, 100 g de manzana), en trozos', '20 g de aceite', '20 g de vinagre\no bien 20 g de jugo de limón', '1 cucharadita de sal\no bien 1 cucharadita de sal', '2 pizcas de pimienta negra molida', '½ cucharadita de azúcar (opcional)\no bien ½ cucharadita de miel (opcional)']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '98 kcal / 410 kJ'), ('Proteína', '1 g'), ('Grasa', '5 g'), ('Carbohidratos', '11 g'), ('Fibra', '4 g')]"
Tostadas veganas,4.8,29 valoraciones,fácil,15min,25min,4 porciones,"['10 g de hojas de cilantro, frescas', '180 g de jitomate guaje en cubos (1 cm)', '250 g de pepino europeo, sin semillas, con pile y en cubos (1 cm)', '210 g de garbanzos cocidos escurridos', '110 g de granos de elote, enlatados y escurridos', '20 g de jugo de limón recién exprimido', '½ - 1 cdita de sal fina o al gusto', '20 g de aceite de oliva extra virgen', '200 g de tomate verde en cuartos', '1 - 2 chiles serranos o al gusto', '1 aguacate grande (200 g de pulpa)', '15 g de jugo de limón recién exprimido', '1 cdita de sal fina o al gusto', '15 g de aceite de aguacate', '100 g de lechuga romana fileteada']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '287 kcal / 1205 kJ'), ('Proteína', '8 g'), ('Grasa', '17 g'), ('Carbohidratos', '30 g'), ('Fibra', '8 g'), ('Grasas saturadas', '2 g'), ('Sodio', '966 mg')]"
